step,magnitude,speed,direction,phase,layer,experiment,arch_name,dataset,phase_category,cluster
1,1.0658141036401503e-14,5.495603971894525e-15,increase,0.0005,conv_layers.0,cnn_deep_fashion_mnist,cnn_deep,fashion_mnist,early,0
2,1.354472090042691e-14,5.7065463465733045e-15,increase,0.001,conv_layers.0,cnn_deep_fashion_mnist,cnn_deep,fashion_mnist,early,0
3,6.5503158452884236e-15,5.773159728050814e-15,increase,0.0015,conv_layers.0,cnn_deep_fashion_mnist,cnn_deep,fashion_mnist,early,0
5,5.662137425588298e-15,9.992007221626409e-16,decrease,0.0025,conv_layers.0,cnn_deep_fashion_mnist,cnn_deep,fashion_mnist,early,0
6,3.9968028886505635e-15,2.509104035652854e-15,decrease,0.003,conv_layers.0,cnn_deep_fashion_mnist,cnn_deep,fashion_mnist,early,0
12,4.6629367034256575e-15,2.2870594307278226e-15,decrease,0.006,conv_layers.0,cnn_deep_fashion_mnist,cnn_deep,fashion_mnist,early,0
13,3.885780586188048e-15,2.176037128265307e-15,decrease,0.0065,conv_layers.0,cnn_deep_fashion_mnist,cnn_deep,fashion_mnist,early,0
15,3.219646771412954e-15,1.1102230246251565e-16,increase,0.0075,conv_layers.0,cnn_deep_fashion_mnist,cnn_deep,fashion_mnist,early,0
20,3.552713678800501e-15,1.0436096431476472e-15,decrease,0.01,conv_layers.0,cnn_deep_fashion_mnist,cnn_deep,fashion_mnist,early,0
33,4.107825191113079e-15,1.1546319456101628e-15,decrease,0.0165,conv_layers.0,cnn_deep_fashion_mnist,cnn_deep,fashion_mnist,early,0
67,3.3306690738754696e-15,1.3100631690576848e-15,increase,0.0335,conv_layers.0,cnn_deep_fashion_mnist,cnn_deep,fashion_mnist,early,0
71,3.4416913763379853e-15,1.3100631690576848e-15,decrease,0.0355,conv_layers.0,cnn_deep_fashion_mnist,cnn_deep,fashion_mnist,early,0
72,3.552713678800501e-15,1.9539925233402757e-15,decrease,0.036,conv_layers.0,cnn_deep_fashion_mnist,cnn_deep,fashion_mnist,early,0
143,3.219646771412954e-15,3.9968028886505636e-16,decrease,0.0715,conv_layers.0,cnn_deep_fashion_mnist,cnn_deep,fashion_mnist,early,2
