experiment,arch_name,dataset,total_critical_steps,total_transitions,num_coordinated_periods,max_coordination,mean_coordination,loss_correlation
cnn_deep_fashion_mnist,cnn_deep,fashion_mnist,180,168,26,1.0,0.09,0.5627060931899641
cnn_deep_mnist,cnn_deep,mnist,158,171,30,1.0,0.079,0.6828617924902755
cnn_deep_qmnist,cnn_deep,qmnist,160,149,24,1.0,0.07999999999999999,0.6904971720488962
cnn_medium_fashion_mnist,cnn_medium,fashion_mnist,128,126,34,1.0,0.08,0.5954258405871309
cnn_medium_mnist,cnn_medium,mnist,121,137,30,1.0,0.075625,0.5992566257272139
cnn_medium_qmnist,cnn_medium,qmnist,110,124,27,1.0,0.06875,0.6702380952380953
cnn_shallow_fashion_mnist,cnn_shallow,fashion_mnist,99,111,24,1.0,0.08249999999999998,0.5297397047397047
cnn_shallow_mnist,cnn_shallow,mnist,88,92,27,1.0,0.07333333333333333,0.6379629629629631
cnn_shallow_qmnist,cnn_shallow,qmnist,114,80,37,1.0,0.09500000000000001,0.5364163614163614
mlp_deep_10_ag_news,mlp_deep_10,ag_news,200,196,6,0.6363636363636364,0.04545454545454545,0.3246644738580222
mlp_deep_10_fashion_mnist,mlp_deep_10,fashion_mnist,261,344,15,1.0,0.05931818181818182,0.5954021352138681
mlp_deep_10_mnist,mlp_deep_10,mnist,246,240,15,1.0,0.0559090909090909,0.5978287417986264
mlp_deep_10_qmnist,mlp_deep_10,qmnist,252,313,17,1.0,0.05727272727272727,0.697700969739602
mlp_medium_5_ag_news,mlp_medium_5,ag_news,62,43,0,0.3333333333333333,0.02583333333333333,0.16325757575757574
mlp_medium_5_fashion_mnist,mlp_medium_5,fashion_mnist,131,118,10,1.0,0.05458333333333334,0.7241289282086246
mlp_medium_5_mnist,mlp_medium_5,mnist,102,131,9,1.0,0.0425,0.7031590413943355
mlp_medium_5_qmnist,mlp_medium_5,qmnist,160,182,14,1.0,0.06666666666666667,0.6022883831791878
mlp_medium_ag_news,mlp_medium,ag_news,39,40,0,0.2,0.019500000000000003,0.10769230769230768
mlp_medium_fashion_mnist,mlp_medium,fashion_mnist,74,86,7,1.0,0.037000000000000005,0.7753246753246753
mlp_medium_mnist,mlp_medium,mnist,122,76,7,1.0,0.061,0.7667226890756302
